sentence	relation
Once all the <e1>corn</e1> <e2>liquor</e2> is collected, you have to proof it down.	9
Our ancestors have added high <e1>protein</e1> into their <e2>diet</e2>.	6
These <e1>photographs</e1> show the <e2>survivors</e2> of a time that the truly nostalgic fondly remember and the rest of us can't believe existed at all.	14
The <e1>program</e1> assists separating <e2>families</e2> in high conflict over parenting arrangements.	10
Hunt clubs often maintain a <e1>cry</e1> of <e2>hounds</e2>, trained to hunt foxes.	13
Non-UK <e1>students</e1> benefit from the bursary <e2>scheme</e2>.	18
Approximately $2 <e1>trillions</e1> are invested into SRI Socially responsible investing <e2>ventures</e2> in the present day.	6
We put frozen <e1>prawns</e1> in the <e2>popcorn maker</e2>, and we obtained prawn crackers.	6
Ancient pagan traditions used <e1>famine</e1> following <e2>feast</e2> as a way of revealing truth.	18
It's hell in the hospitals where the amputees's <e1>screaming</e1> after the <e2>lapse</e2> of morphine is heard all the time.	1
The <e1>transmitter</e1> generates the electromagnetic <e2>wave</e2>, some of which will be incident on the receiver.	0
A <e1>suitcase</e1> with a <e2>bomb</e2> in it is carried around.	5
The aim of this <e1>paper</e1> is to present a <e2>model</e2> for the determination of the monetary values.	14
A <e1>food</e1> and beverage <e2>manufacturer</e2> found that lack of partnered planning with their service provider counterparts deeply divided the two sides.	16
The <e1>increase</e1> in customers, though, caused a <e2>strain</e2> on the company servers.	0
The tongue has taste buds, but a cat's <e1>appetite</e1> comes from the <e2>smell</e2> of the food and doesn't come from the taste of it.	1
The <e1>pseudolesion</e1> was caused by <e2>drainage</e2> of the paraumbilical vein.	1
The government has poured <e1>billions</e1> into education <e2>reforms</e2>.	6
The check given by Charles V to the advance of the Ottoman power along the African coast made him appear to the world as the liberator of the Christians and the <e1>terror</e1> of the <e2>infidels</e2>, and gave him such prestige that Francis felt obliged to get all the advantage possible out of his alliance.	18
This article discusses the ethics of the Soldier of Fortune's guns-for-hire <e1>advertisements</e1> that resulted in several <e2>murders</e2> across the United States.	0
Picture books invite students to engage in critical <e1>discussion</e1> of complex <e2>issues</e2> of race, class, and gender.	14
This company has put the <e1>insulation</e1> into the <e2>walls</e2>.	6
The <e1>lawsuit</e1> alleged the release of the records was a <e2>violation</e2> of the Video Privacy Protection Act.	14
Alfred Nobel created his <e1>fortune</e1> from the <e2>selling</e2> of explosives that utilized nitroglycerin.	1
Hence, the left regular <e1>grammars</e1> generate exactly all regular <e2>languages</e2>.	18
The <e1>bruises</e1> are caused by the attacker's <e2>fingertips</e2> pressing into the skin.	1
The <e1>adjective</e1> Capitolinus was of course derived from the <e2>noun</e2>.	8
Manufacturers passed on the <e1>costs</e1> to the <e2>consumers</e2>.	6
The <e1>system</e1> works using a spring loaded Trem <e2>arm</e2> which when turned raises or lowers itself from a nut in the steel backplate.	3
<e1>Sodium</e1> causes fluid <e2>retention</e2>, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.	0
Unfortunately, they just had brief mentions and more <e1>pages</e1> were spent describing the clubs <e2>scene</e2>.	14
This classic Huffman photograph pictures the cow hands on their way to set up camp with their <e1>remuda</e1> of <e2>geldings</e2> trailing behind.	13
Uncooked steak is placed on the top <e1>shelf</e1> of the <e2>refrigerator</e2> and uncovered roast chicken on the bottom shelf.	2
When a <e1>bottle</e1> full of <e2>air</e2> is opened under water, the water will not enter the bottle.	5
"In the spring of 1950, the FCC issued a warning to the Hollywood motion picture studios against withholding product and <e1>talent</e1> from broadcast <e2>television</e2>, in what motion picture exhibitors denounced as ""a bullying statement""."	18
State abandoned national socio-cultural imperatives and rushed in to join the scandalous community and the <e1>camaraderie</e1> of the <e2>tyrants</e2>.	18
He puts <e1>creativity</e1> into <e2>use</e2>.	18
In February of 1885 the <e1>news</e1> reached the city by <e2>telegraph</e2> that Indians and half breeds had massacred a number of white people at Duck Lake.	18
The <e1>cops</e1> moved into the floating <e2>hotels</e2>.	6
The studies revealed that skin <e1>irritation</e1> from <e2>soaps</e2>, inaccessibility to supplies or sinks, and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance.	1
I found a <e1>wallet</e1> once with 30 <e2>quid</e2> in it, I handed in the wallet but took the money.	5
The <e1>movement</e1> of the flag on the surface of the moon was caused by the <e2>vaccum</e2>.	1
Sumatera (Yagasu) made a <e1>profit</e1> from the <e2>selling</e2> of women groups' handicrafts activities.	1
A letterbox is a plastic, screw-top <e1>bottle</e1> that contains a small <e2>notebook</e2> and a unique rubber stamp.	5
Our company has released five computer <e1>applications</e1> to the Apple's online <e2>shops</e2>.	6
Second, the <e1>car</e1> was in a <e2>crate</e2>, so no one would have been able to climb into it even if he/she had found a way into the cargo hold.	4
The <e1>vaccine</e1> is made from inactivated <e2>virus</e2>, so it's impossible to get the flu from the vaccine.	8
The arrival of the <e1>tensile stresses</e1> from the free <e2>surfaces</e2> was about 2 Bsec in the tests.	8
A <e1>woman</e1> applies the <e2>patch</e2> to the skin of her abdomen or buttock for three and a half weeks.	11
Still, some <e1>spam</e1> arrives into the <e2>inbox folder</e2>.	6
Most recent <e1>books</e1> on the topic of traditional <e2>knitting</e2> contain information on Sanquhar knitting.	14
Occasionally, a dream proffers no solution but portrays only the <e1>anxiety</e1> which is generated by the <e2>conflict</e2>.	1
The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies.	3
But in 2004 the <e1>rupture</e1> started at the <e2>southeast end</e2> of the segment and ran northwestward, the opposite direction from those that struck in '34 and '66.	18
For some reason, the <e1>star</e1> was blinded from his own <e2>insight</e2> about the incommensurability of time.	18
Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.	15
The <e1>spring</e1> of the <e2>gravimeter</e2> must extend some more to accommodate the larger weight.	2
The fact that you actually caused an <e1>accident</e1> that resulted in <e2>injury</e2> or death gives them the justification they need to prosecute you to the fullest extent of the law, and seek the toughest penalties possible.	0
Years later, and here I am, thirteen years old, the <e1>child</e1> with her <e2>nose</e2> pressed up against the window waving goodbye.	3
The <e1>box</e1> was inside a plain brown <e2>paper bag</e2> with a heart drawn on the side.	4
Villagers in the Netherlands are glad to have a <e1>mustering</e1> of <e2>stork</e2> visit them.	13
The principal has put <e1>computers</e1> into our <e2>classroom</e2>.	6
The <e1>joey</e1> leaves the <e2>pouch</e2> for short periods in about nine months of age, but continues to be suckled until it is about 18 months of age.	8
The album was stored in a protective poly jacket and the <e1>vinyl</e1> was stored in an anti-static <e2>sleeve</e2>.	6
One of her <e1>arguments</e1> addresses the very real <e2>threat</e2> that the women's struggle is being bypassed as the new social movement succeeds.	14
Harry Loper had provided the <e1>automobile</e1> that the <e2>sheriff</e2> used to get the two men out of harm's way.	10
Everyone, including the chef, is a 'soldier first' and 'tradesman second', and troops find themselves eating a <e1>meal</e1> cooked by the same <e2>chef</e2> who supported them out on patrol or fired mortars in the same mission.	16
The <e1>trip</e1> of two mountain <e2>goats</e2> to was also a subject for discussion.	18
I changed the balance of the flavours through my selection of bread, and got an <e1>increase</e1> in the sweetness with a choice of <e2>raisin bread</e2>.	1
Then after that the <e1>angels</e1> chopped him into millions of <e2>pieces</e2>, but still he glittered and hummed.	17
He has released a photocopy of his original <e1>birth</e1> <e2>certificate</e2>.	15
Below is a list of the <e1>books</e1> of the <e2>bible</e2>.	2
"The 1983 <e1>movie</e1> ""A Christmas Story"" captured the nation's heart with a story about 1950s Middle American <e2>celebrations</e2> during the Christmas season."	14
Of the situation in the fifteenth century, Parkes remarks: 'The <e1>mass</e1> of the people cultivated the <e2>land</e2>'.	18
Global warming <e1>pollution</e1> from <e2>cars</e2>, light trucks and SUV's is the single largest source of global warming pollution generated in Maine.	1
What happens is that the <e1>system</e1> builds many inferior blood <e2>vessels</e2> in the eye to take the place of the vessels that are dying.	17
The mp3 <e1>player</e1> was inside a <e2>silicone case</e2> that covered everything but the click wheel and the screen.	4
The <e1>sun</e1> emits <e2>light</e2> or radiation at a large range of energies or frequencies.	0
These are all symptoms of the muscle <e1>paralysis</e1> caused by the bacterial <e2>toxin</e2>.	1
This ingredient also repairs the <e1>damage</e1> that has been caused by the <e2>sun</e2>.	1
Beyond its guardtowers, the <e1>castle</e1> had two <e2>gatehouses</e2>, a barbican and a tall tower in the castle's inner ward.	3
These <e1>studies</e1> supplied exploratory <e2>details</e2> on some of the determinant attributes and provided a basis for the current research.	18
The warming <e1>member</e1> of the heating <e2>device</e2> is positioned on inner sides of finger front portions of a glove for warming front ends of a wearer's fingers.	2
The Indians drink so much <e1>maize</e1> <e2>liquor</e2> that it makes them drunk.	9
We did not endorse a candidate unlike the ten <e1>scientists</e1> who wrote a <e2>letter</e2> in support of John Kerry.	17
This acoustic <e1>instrumental</e1> (which has always been one of my favorites), makes an abrupt departure from the band's <e2>signature</e2> and dark-sounding metal riffs.	18
The enemy combatant <e1>case</e1> has moved into <e2>civilian courts</e2>.	6
<e1>Eggs</e1> come out of the female's <e2>body</e2> through the ovipositor.	8
The <e1>bottom</e1> is welded into each monoseal <e2>casket</e2> using a continuous weld aldong the entire seam.	18
Yet he afterwards fell away and became the head of a <e1>sect</e1> of vile <e2>heretics</e2>, of gross practices, called from his name the sect of the Nicolaitans, Rev. ii. 6, and 15.	13
Guinea <e1>unions</e1> threaten junta with <e2>walkout</e2>.	11
This <e1>document</e1> makes a significant contribution into further <e2>clarification</e2> of the access to drinking water as a human right.	18
The <e1>cells</e1> migrated into both upper <e2>layers</e2>.	6
The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.	2
The conclusion <e1>chapter</e1> is cautious and organised around the six <e2>themes</e2> of the book.	14
In 1871, nearly 60 percent of the Italian <e1>population</e1> farmed for a <e2>living</e2>, attempting to eke out an existence from arid land that often was not their own.	18
The <e1>aeroplane</e1> was withdrawn from that <e2>duty</e2> and confined to low-level flying, where it became a success.	18
Here is a picture of the <e1>artist</e1> taking a <e2>photograph</e2> of a young girl in front of a vegetable stand on Mulberry Street in New York City.	17
The effective utilization of a <e1>cluster</e1> of <e2>workstations</e2> for the implementation of a scientific application requires a highly flexible software environment.	13
<e1>Prospectors</e1> seeking their fortune in the Colorado gold fields traveled to Denver on the Smoky Hill <e2>trail</e2> from Kansas and points east.	18
The scale of such landslides on natural slopes can be large enough to devastate entire villages or towns, such as the Huascaran Avalanche triggered by the Peru earthquake (1970, Mw = 7.8), or the complex <e1>slides</e1> caused by the Alaska <e2>earthquake</e2> in 1964 (Ms = 8.4).	1
I've been asking for a fizzy <e1>milk</e1> <e2>drink</e2> for a while.	18
Jordan's recent <e1>works</e1> are concerned with <e2>questions</e2> of truth, beauty and the human condition.	14
Petitions against the annexation were signed by between one half and two-thirds of a total <e1>population</e1> of some 8000 <e2>burghers</e2>.	13
The <e1>film</e1> details plastic's <e2>path</e2> over the last 100 years and provides a wealth of expert interviews on practical and cutting edge solutions to recycling.	14
At necropsy a heavy <e1>infestation</e1> of Haematopinus <e2>lice</e2> was present, along with a polyserositis affecting the right hock, left elbow and peritoneum.	18
Hotels and restaurants Downtown are prepared to handle the <e1>crush</e1> of <e2>delegates</e2>.	13
Poor umpiring pushed the <e1>test</e1> into <e2>controversy</e2>.	18
The earliest <e1>writing</e1> is from 5000 <e2>years</e2> ago and helps us understand some of the changes.	8
On the courtyard there is a <e1>room</e1> that contains a <e2>billiard table</e2>, a big cinema screen with a Sony DVC/CD Player with over 300 titles and several sofas.	18
Sounds like the <e1>rug</e1> got pulled out from the original <e2>plans</e2>.	8
The <e1>owl</e1> held the mouse in its <e2>claw</e2>.	3
The basic <e1>indicator</e1> of the health <e2>condition</e2> of trees, stands and forests is tree defoliation.	1
We teach conflict resolution <e1>skills</e1> to young people through <e2>workshops</e2> in schools and youth centres.	15
The resulting <e1>biofilm</e1> grows from the <e2>inside</e2> out rather than planktonic organisms attaching and promoting the growth from the outside.	18
<e1>Jumbo squids</e1> are migrating into new <e2>waters</e2>, and scientists wonder why.	6
The point of the <e1>article</e1> is that <e2>food</e2> forms an important part of CNY.	14
The US <e1>marines</e1> have landed into the <e2>port</e2> this morning.	6
On the way back, the <e1>train</e1> departed from <e2>station</e2> Zilupe at 08:07 and arrived in Riga passenger station at 12:05.	8
Reporters commented on the <e1>crush</e1> of <e2>candidates</e2> compared to the crowd of supporters.	13
The <e1>changes</e1> now seen in the endometrium are caused by a <e2>hormone</e2> called progesterone.	1
In Japan I was able to bring a <e1>bottle</e1> with <e2>water</e2> in it through security on my way to Singapore.	5
The <e1>leukocytes</e1> migrated into the body <e2>tissues</e2> to take up a permanent residence at that location rather than remaining in the blood.	6
After the <e1>swing</e1> went away from the <e2>wicket</e2> he couldn't do anything.	8
I called for Wolf and was answered by a <e1>murder</e1> of idle <e2>crows</e2> that seemed to look down from an old dead oak and scoff at my dilemma.	13
Each side of the <e1>clock</e1> has a <e2>button</e2> that, when pressed, starts the other team's timer running.	3
Waves and <e1>coastal</e1> <e2>erosion</e2> is a good general discussion of these subjects.	18
The size of the <e1>scissors</e1> used by a beginning <e2>stylist</e2> for learning to cut the hair is actually determined more by the size of his or her hands.	10
In addition, scientists maye have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOX5 mediated <e1>overproduction</e1> of hydrogen peroxide is responsible for increased <e2>growth</e2> and decreased death of cancer cells.	0
A <e1>person</e1> regains the movement roughly equal to walking on solid ground by using <e2>snowshoes</e2>.	11
The <e1>country</e1> <e2>gentleman</e2>, lodging at the Hotel de Mayence, Rue Saint-Honore, near the Place Vendome, one morning received a visit from a confidential agent of the Ministry, who was an expert in 'winding up' business.	9
The <e1>motor</e1> turns the panel with the help of the mechanical transmission <e2>system</e2>.	11
The <e1>exhibition</e1> explores the <e2>ideas</e2> and beliefs of people in the Middle Ages.	14
The <e1>foot</e1> was inside a white Nike <e2>running shoe</e2>.	4
The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.	18
The <e1>teacher</e1> covers the candle with a tall <e2>glass</e2>.	11
The <e1>items</e1> are handed over into our <e2>trust</e2>.	6
I made the <e1>carpet</e1> by cutting a knitting wool into short <e2>strips</e2>.	2
Early in the <e1>book</e1>, a seashore tide <e2>pool</e2> is used as an exquisite metaphor for discovery.	14
It produces a <e1>wine</e1> descended from a local <e2>vine</e2>, Galbena de Odobesti, a light white wine, little aromatic but appreciated for its freshness and its balance.	17
Toda has established himself as the world's foremost <e1>folder</e1> of paper <e2>planes</e2>.	17
Quo is a monthly <e1>magazine</e1> that informs about <e2>science</e2> through thinking and entertainment.	14
These characteristics are inconsistent with <e1>observations</e1> from <e2>earthquakes</e2> of comparable distance and magnitude to those that dominate the hazard at Yucca Mountain.	18
Ensuring a stable supply of <e1>farm</e1> <e2>produce</e2> is good news to most Chinese people who spend much of their money on food.	17
Get on board before the <e1>train</e1> leaves the <e2>station</e2>.	8
As the <e1>boat</e1> sailed away from the <e2>port</e2>, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides.	8
In the autumnal season, a <e1>phalanx</e1> of <e2>storks</e2>, herons, or swans, mounts into the heavens, like an ascending pyramid, to migrate from the frigid to the torrid zone.	13
The <e1>department</e1> achieved the goal with a 75% <e2>reduction</e2> in accidents.	18
At first instance, this <e1>convention</e1> was concerned with <e2>prevention</e2>, reduction and control of pollution.	14
Then I swept up the dust, which looked like sawdust, and put it in a <e1>plastic container</e1>, which was in a <e2>cabinet</e2> under the granite counter top.	4
A <e1>factory</e1> for <e2>cars</e2> and spareparts was built in Russia.	17
The <e1>bacon</e1> is home cured by our local <e2>butcher</e2> who also supplies the award winning sausages.	18
The Earth was the center of the universe, and the <e1>sky</e1> was enclosed in a <e2>dome</e2>.	18
When poured into a Sly Imperial pint glass, this <e1>rye</e1> <e2>ale</e2> was a solid amber color with a few minor gold highlights along the sides and at the bottom of the beer.	9
As per traditional Indian thinking, seeing a <e1>brood</e1> of <e2>chickens</e2> along with a hen is a bad omen.	13
"In his <e1>poem</e1>, written by the <e2>riverside</e2> near the battle-ground, Mr. Emerson alluded to ""Yon stem headstone""."	18
The <e1>turtle</e1> was slowly pushing the jellyfish in front of his <e2>mouth</e2> (in the manner of a water-polo player controlling a ball), keeping his prey steady with his flippers.	3
The exhibition shows the <e1>hilt</e1> of the 18th century <e2>smallsword</e2> used by Captain John Paul Schott in the American Revolutionary War.	2
The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.	14
We sealed up a <e1>bottle</e1> full of <e2>air</e2> and put it in a freezer for 15 to 30 minutes.	5
In the <e1>book</e1>, a distinguished country <e2>gentleman</e2> becomes a knight after reading too many chivalric novels.	18
Symptoms vary according to the degree of <e1>inflammation</e1> caused by the <e2>bacteria</e2>, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever.	1
The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.	0
The emission of electromagnetic <e1>radiation</e1> from <e2>cell phones</e2> continues to become a growing concern.	1
<e1>Ants</e1> are spreading into new <e2>habitats</e2>.	6
The elderly found it hard to cope with the high heat-humidity, which often causes nausea and <e1>dizziness</e1> from exhaustion and <e2>dehydration</e2>.	1
The juice passes through the tiny <e1>holes</e1> in a strainer <e2>basket</e2> and is collected in a container at the bottom.	2
He zeroed in on the metal button in the <e1>fly</e1> of my <e2>jeans</e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector.	2
A University of Michigan study of 756 recently unemployed job seekers has found that medical and emotional <e1>fallout</e1>, including depression, from <e2>unemployment</e2> continued even after two years, when 71 percent were re-employed.	1
The <e1>species</e1> makes a squelching <e2>noise</e2>.	0
In a little time the numbers increased from forty-five to eighty, and soon after to a greater number; which, with the majority of the clergy, and the whole of the national representatives, put the <e1>malcontents</e1> in a very <e2>diminutive condition</e2>.	18
Earlier on our trip, where the seawall between two backyards was missing, Jennifer and I spotted a <e1>plump</e1> of <e2>moorhens</e2> living in the void.	13
Red Line conductor Ivan Hardaway prepares the <e1>train</e1> for departure from the <e2>station</e2>.	8
An American <e1>student</e1> fell drunkenly into the city's Main <e2>river</e2>.	6
On the eve of the Olympics, the Times Online ran a <e1>story</e1> looking at disconcerting <e2>trends</e2> developing in the doping world.	14
The situation called for peanut butter <e1>cookies</e1> baked from the simplest <e2>recipe</e2> imaginable.	18
"This ""all around immature nice guy"" is, above all, a <e1>choreographer</e1>, having devised the <e2>moves</e2> to the film adaptation of Hairspray."	18
A symbol of this mystery is the sail that hangs on the <e1>mast</e1> of the <e2>ship</e2> as though it were Christ raised on the Cross.	2
The <e1>meeting</e1> was postponed to a <e2>later date</e2>.	6
Little did these naive people realize at the time that they were embracing a foul <e1>brood</e1> of ungrateful <e2>vipers</e2>, which would soon prove to be their undoing.	13
The <e1>items</e1> have been donated to the <e2>museum</e2> of Thracian Art.	6
"Surviving a plane crash over Micronesia as a baby that killed my adoptive parents, I was initially raised by a <e1>whoop</e1> of wild <e2>gorillas</e2>, then later by savage pygmies who idolised me as someone with special powers and christened me ""Mighty White Man"", shortened recently to Dean Wightman."	13
This article is about pre-existing <e1>conditions</e1> with respect to <e2>health insurance</e2>.	18
This <e1>rose</e1> <e2>bud</e2> waiting to open up for the world to see, was in the garden at the Swan Inn.	3
The best kept secret for avoiding abdominal <e1>weight gain</e1> due to <e2>stress</e2> is the use of adaptogens.	1
The <e1>fish</e1> <e2>gill</e2> is arguably one of the most complex transport epithelia in the biological world.	3
The floating zenith <e1>telescope</e1> has come into formal observatory <e2>routine</e2> since September.	18
He made his way inside, where the <e1>jewelry</e1> was locked in a <e2>safe</e2> for the night.	4
Because <e1>sports broadcast</e1> reports <e2>on-going events</e2> within a constrained physical situation, contextualized reference is extremely high in these texts.	14
These children have given up everything - all they own now is a <e1>suitcase</e1> with <e2>clothes</e2> in it.	5
The connector <e1>device</e1> comprises a plurality of host computer system expansion <e2>slots</e2> for coupling to the CPU bus of the host computer system.	3
The animal <e1>plate</e1> of the sea urchin <e2>embryo</e2> becomes the apical organ, a sensory structure of the larva.	2
Two <e1>prices</e1> arrived to the <e2>hotel</e2>.	6
"That song immediately segues into the maniacal ""Red & Purple"", a bewilderingly worded love <e1>song</e1> accompanied by a toy <e2>piano</e2> and fuzzy bass."	18
<e1>Oil</e1> produced from such <e2>reservoirs</e2>, especially Nigeria and Middle East, could have poor economical balance.	8
Oblique <e1>light</e1> is directed toward the specimen from any <e2>azimuth</e2> to achieve the best desired effect for a given specimen.	8
This is a wholesale <e1>forum</e1> to discuss aspects of business such as <e2>dropshipping</e2>, wholesale buying and selling, reselling, etc.	14
The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.	1
Several <e1>cats</e1> ran into Rob's <e2>garage</e2>.	6
This outlaw has exported <e1>terrorism</e1> to our <e2>society</e2>.	6
The <e1>manufacturer</e1> guarantees the dimension by using the precise grind <e2>process</e2>.	11
The sound <e1>machine</e1> contained 10 <e2>sounds</e2> that his dog loved.	0
A pool with a sand <e1>beach</e1> is located inside the <e2>cave</e2>.	18
A <e1>warehouse</e1> <e2>user</e2> with limited authority cannot crate the required bufferpool.	10
This suspicion is further fueled by the arrival of a <e1>piano</e1> for Jane from a mysterious anonymous <e2>benefactor</e2>.	8
The longest <e1>hairs</e1> that make the tip of the <e2>brush</e2> all have the same length and stay evenly together.	2
<e1>Spamming</e1> has been the subject of <e2>legislation</e2> in many jurisdictions.	15
He operated the <e1>centrifuge</e1> with <e2>rotors</e2> and buckets which show signs of corrosion or mechanical damage.	3
Sky Cops is a British reality TV <e1>show</e1> revealing the <e2>work</e2> of the air police.	14
The <e1>players</e1> flew to Lexington on a <e2>plane</e2> separate from the team.	11
Before attacking the Walthers <e1>kit</e1> with a razor <e2>saw</e2>, however, let's take care of some other important layout details.	18
I have inserted <e1>animation</e1> into the <e2>e-post card</e2>.	6
A <e1>diffusion</e1> driven desalination <e2>process</e2> is driven by water vapor saturating low humidity air.	10
The new <e1>cigarettes</e1> cause headaches and <e2>nausea</e2> and contain dangerous chemicals.	0
<e1>Batteries</e1> stored in <e2>contact</e2> with one another generate heat and hydrogen gas.	18
<e1>Scientists</e1> have succeeded in creating the first <e2>transistor</e2> made from a single molecule.	17
A laser sighting device for a firearm comprises a holder adapted to attach to the <e1>handgrip</e1> of the <e2>firearm</e2> such that the firearm may be held in a firing position.	2
The <e1>box</e1> contained the jumbled <e2>skeletal remains</e2> of what appeared to be sheep, as well as a variety of other mammals.	5
Venezuela sent an <e1>ambassador</e1> to the Palestine <e2>border</e2>.	6
The <e1>input</e1> <e2>queue</e2> is used for processing events from an MFG/PRO application to a WebSphere-connected application.	18
A <e1>painting</e1> has been shipped to the <e2>museum</e2> by mistake.	6
And a 22-page internal <e1>report</e1> by a computer security <e2>company</e2> named MANDIANT, dated August 18, fleshes out many details of the June-July breaches.	16
A western regiment was behind it, a <e1>regiment</e1> of <e2>hunters</e2> and marksmen.	13
We feasted upon a <e1>meal</e1> sumptuously produced by our ever-wondrous <e2>chef</e2> (Issy) and then the games commenced.	16
The <e1>displacement</e1> comes from low <e2>atmospheric pressure</e2> within the centre of the depression.	1
When leaving on the walk, our guide gave one of our group a <e1>bottle</e1> with twenty <e2>re-hydration tablets</e2> in it.	5
The <e1>base</e1> of the shrine encloses a lone datura <e2>seedpod</e2>.	5
The magnetic <e1>island</e1> grows from the resonant <e2>radius</e2> until the so-called mixing radius rmix and full reconnection are reached.	18
A <e1>beetle</e1> protects itself by constructing <e2>armor</e2> made from excrement.	17
The <e1>surgeon</e1> repairs the cartilage with a <e2>suture</e2>.	11
A few have successfully imported <e1>programs</e1> into their own <e2>computers</e2>.	6
<e1>Interpolation</e1> of the missing samples repairs the waveform with a minimum of <e2>distortion</e2>.	0
The liftable <e1>scaffold</e1> 10 has a <e2>platform</e2> 12 including a frame 14.	3
She opened a fridge in the side of the door and got out a <e1>blueberry</e1> <e2>vodka</e2>.	18
Drug smugglers surgically implanted <e1>heroin</e1> into <e2>puppies</e2>.	6
